ordem,acuracia,tempo_ajuste_segundos
1,0.7253,0.003959699999541044
2,0.9449,0.004845899995416403
3,0.9764,0.007603599922731519
4,0.9924,0.011225800029933453
5,0.9926,0.013601399958133698
6,0.993,0.02124770008958876
