modelo,lambda,beta_0,beta_1,norma_beta
MQO tradicional,0.0,1437041815987.4956,1793179637825.3691,2297951782437.604
MQO regularizado,0.0,1437041815987.4956,1793179637825.3691,2297951782437.604
MQO regularizado,0.25,1430539364331.4438,1785065702812.585,2287553810571.371
MQO regularizado,0.5,1424095493320.9417,1777024866313.4292,2277249514127.356
MQO regularizado,0.75,1417709414875.5564,1769056144939.8262,2267037632898.085
MQO regularizado,1.0,1411380354987.7188,1761158572864.2021,2256916929179.7896
