ordem,r2_medio,r2_desvio_padrao
1,-0.7055762405163984,2.7301676934374037
2,0.21964122664264096,1.2348330733058945
3,0.8104997217800797,0.30303864413053333
4,0.9600546567638117,0.06704715872167105
5,0.9849545798729573,0.015505149979158113
6,0.980495165226715,0.020384181250042956
7,0.9809690658463677,0.0220584720966093
8,0.9880730314348185,0.02059378652509293
9,0.9965074570086963,0.004421201882860243
10,0.9953229508641797,0.006302049497288114
